,Type,Title,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
350,Movie,The In Crowd,Mary Lambert,"Susan Ward, Lori Heuring, Matthew Settle, Nathan Bexton",2000,16+,106 min,"Drama, Suspense",4.48
4418,Movie,Underground,Arthur H. Nadel,Unknown,1970,7+,100 min,Action,4.478
4547,Movie,Lemon,Janicza Bravo,"Brett Gelman, Judy Greer, Michael Cera, Nia Long, Shiri Appleby, Fred Melamed, Rhea Perlman, David Paymer, Gillian Jacobs, Martin Starr, Megan Mullally, Jeff Garlin, Marla Gibbs",2017,16+,83 min,Comedy,4.467
2537,Movie,First We Take Brooklyn,Danny A. Abeckaser,"Harvey Keitel, Charlotte McKinney, AnnaLynne McCord",2018,Unknown,90 min,"Action, Drama, Suspense",4.462
2432,Movie,Hide Away,Chris Eyre,"James Cromwell, Josh Lucas, Ayelet Zurer",2011,PG-13,81 min,Drama,4.444
2822,Movie,PERSECUTION,Patrice Chereau,"Charlotte Gainsbourg, Romain Duris, Jean-Hugues Anglade",2009,PG-13,99 min,International,4.444
5525,Movie,Attack Force,Michael Keusch,"Steven Seagal, Danny Webb, Adam Croasdell, Michael Carter",2006,R,94 min,"Action, Suspense",4.444
3535,Movie,The Curse Of The Blind Dead,Raffaele Picchio,"Aaron Stielstra, Alice Zanini, Francesca Pellegrini, Bill Hutchens",2021,16+,88 min,"Horror, Suspense",4.429
4629,Movie,The Florentine,Nick Stagliano,"Jeremy Davies, Virginia Madsen, Luke Perry, Mary Stuart Masterson",1999,R,104 min,"Comedy, Drama",4.429
2624,Movie,Double Dragon,James Yukich,"Scott Wolf, Mark Dacascos, Robert Patrick, Alyssa Milano, Kristina Wagner, Julia Nickson, Nils Allen Stewart, Vanna White, Andy Dick",1994,PG-13,96 min,"Action, Adventure, Comedy",4.425
4859,Movie,Arsenal,Steven C. Miller,"Nicolas Cage, John Cusack, Adrian Grenier, Johnathon Schaech, Lydia Hull, Abbie Gayle",2017,R,92 min,"Action, Suspense",4.424
5013,Movie,Camp Wedding,Greg Emetaz,"Kelley Gates, Sean Hankinson, Wendy Jung, Morgan Mcguire, Cliff Miller",2019,13+,97 min,"Comedy, Horror",4.423
5014,Movie,Breathless (2011),Jesse Baget,"Gina Gershon, Kelli Giddish, Wayne Duvall, Val Kilmer, Ray Liotta",2016,R,91 min,"Comedy, Suspense",4.423
4580,Movie,Separate Lives,David Madden,"James Belushi, Linda Hamilton, Vera Miles, Elisabeth Moss",1995,R,102 min,"Drama, Suspense",4.421
3316,Movie,Murder in Gavea,André Warwar,"Ricardo Duque, Simone Spoladore, Roberto Birindelli, Celso Taddei, Silvio Guindane, Aline Fanju",2017,16+,78 min,"Drama, Suspense",4.417
3315,Movie,Ninja Academy,Nico Mastorakis,"Gerald Okamura, Will Egan, Kelly Randall, Michael David, Jeff Robinson",1991,18+,89 min,"Action, Comedy",4.417
2031,Movie,Trial By Media,Sheldon Larry,"Christine Lahti, Tom Skerrit, Jay Thomas",2000,16+,91 min,Drama,4.4
2757,Movie,Jana,Shaji Kailas,"Ajith Kumar, Sneha, Raghuvaran, Manivannan",2004,ALL,161 min,"Action, Romance",4.4
2577,Movie,Fantastic Learning Songs - Little Baby Bum,Cannis Holder,Unknown,2019,ALL,37 min,Kids,4.4
3650,Movie,Alag - He Is Different - He Is Alone,Ashu Trikha Jim Mulligan,"Akshay Kapoor, Dia Mirza, Yatin Karyekar, Jayant Kripalani, Mukesh Tiwari, Sharat Saxena, Beena Banerjee, Tom Alter, Rana Jung Bahadur, Somesh Agarwal, Avtar Gill, Tej Sapru",2006,13+,117 min,Drama,4.4
2647,Movie,Loaded,Chris Zonnas,"Patrick John Flueger, Kumail Nanjiani, Andrew W. Walker, Alexandra Holden, Natalie Distler, Bobby Ray Shafer, Michael Shamus Wiles",2015,18+,91 min,Comedy,4.4
1320,Movie,Ghosts On The Loose,William Beaudine,"Leo Gorcey, Huntz Hall, Bobby Jordan, Bela Lugosi, Ava Gardner, Rick Vallin, Ernest Morrison, William 'Billy' Benedict, Stanley Clements, Bobby Stone, Minerva Urecal, Wheeler Oakman, Peter Seal, Frank Moran, Jack Mulhall, Bill Bates, Harry Depp, Tom Herbert, Robert F. Hill, Eddie Laughton, Kay Marvis, Ray Miller, Blanche Payson, 'Snub' Pollard",1943,PG,65 min,"Comedy, Horror, Suspense",4.4
2576,Movie,From Other Worlds,Barry Strugatz,"Cara Buono, Melissa Leo, Robert Downey Sr.",2004,Unknown,85 min,"Comedy, Science Fiction",4.4
3353,Movie,Raju Gari Gadhi 2,Ohmkar,"Nagarjuna Akkineni, Samantha, Seerat Kapoor",2017,13+,122 min,"Drama, Horror, International",4.4
2111,Movie,One Remains,"Josh Hodgins, Laura Megan Stahl","Vanessa Leigh, Ryan O'Quinn, Christopher Atkins, Aaron Bennett, Katelyn Gault, David Thomas Jenkins",2019,18+,94 min,"Horror, Suspense",4.4
2913,Movie,Junooniyat,Vivek Agnihotri,"Pulkit Samrat, Yami Gautam, Hrishitaa Bhatt, Aneesha Joshi, Taran Bajaj, Manoj Bakshi, Madhuri D. Bandiwedkar, Manann Dania, Gulshan Devaiah, Jaquiline Garewal, Gurpreet Kaur, Ravi Khemu, Sanjay Mehandiratta, Anoop Singh, Herry Tangiri, Khushboo Upadhyay",2016,ALL,122 min,"Drama, International, Romance",4.4
3132,Movie,Captain Rana Pratap,Dr.Harnadh policherla,"Harnadh policherla, Suman, Joythi reddy, Punith issar, Shayajishende, Nishi gandha",2021,16+,150 min,"Action, Drama",4.4
3249,Movie,Good Kisser,Wendy Jo Carlton,"Kari Alison Hodge, Julia Eringer, Rachel Paulson, Courtney McCullough, Carter Rodriquez",2020,18+,75 min,"Comedy, LGBTQ",4.4
3792,Movie,15 Killings,I. Drakos,"Steve Bongeorno, Maria Olsen, JT Richardson",2020,18+,97 min,"Horror, Suspense",4.4
3129,Movie,Eternity,Gunter H. Sanderson,"Crystal Gettings, Thomas Mitchell",2021,13+,45 min,"Drama, Romance",4.4
3130,Movie,Cut the Rope - Om Nom Stories Video Blog,Arthur Merkulov,Barrett Leddy,2017,ALL,23 min,"Animation, Kids, Sports",4.4
781,Movie,One Rainy Afternoon,Rowland V. Lee,"Francis Lederer, Ida Lupino, Hugh Herbert, Roland Young, , rik Rhodes, Joseph Cawthorn",1936,13+,83 min,Comedy,4.4
2507,Movie,The Star Packer,Robert N. Bradbury,"John Wayne, Verna Hillie, George ""Gabby"" Hayes, Yakima Canutt, Earl Dwire, Ed Parker, George Cleveland, Billy Franey, Tom Lingham, Artie Ortega, Tex Palmer, Davie Aldrich, Glenn Strange, George F. Hayes, Art Ortega",1934,13+,55 min,Western,4.4
3131,Movie,Ceiling Fan for Sleep 9 hours,Mark Knight,Unknown,2017,ALL,540 min,Special Interest,4.4
3603,Movie,Human experiments,Gregory Goodell,"Linda Haynes, Geoffrey Lewis, Ellen Travolta, Lurene Tuttle, Mercedes Shirley",1979,18+,85 min,"Horror, Suspense",4.4
5263,Movie,Madhoshi,Anil Sharma,"John Abraham, Bipasha Basu, Priyanshu Chatterjee, Dolly Bindra, Anang Desai, Smita Jaykar, Dinesh Kaushik, Shweta Tiwari",2004,13+,123 min,"Arts, Entertainment, and Culture, Drama, Suspense",4.4
5523,Movie,Bayou Caviar,"Cuba Gooding,  Jr.","Cuba Gooding,  Jr., Famke Janssen, Richard Dreyfuss, Lia Marie Johnson, Katharine McPhee, Gregg Bello, Ken Lerner, Sam Thakur",2018,18+,111 min,"Action, Suspense",4.4
4983,Movie,Sendero,Lucio A. Rojas,"Andrea García-Huidobro, Diego Casanueva, Sofía García",2015,18+,86 min,"Action, Drama, Horror",4.4
2719,Movie,Trust Me,Andrew Kazamia,"Craig Ferguson, Shelley Long, Winter Ave Zoli, Cory Pendergast, Enn Reitel",2007,18+,97 min,Comedy,4.4
2657,Movie,Cycle,"Mikey Indio Cedano,  Jr","Dawnn Lewis, Tony Terry, Cheryl ""Coko"" Clemons, Robert Shepherd, C.J McBath, Casey Braxton, Anthony Ware, Sheri Lahris, Crystal Howell, Lenecia Renée Porro, Arkeisha Roberts, Kwame Rakes, Alexander Pennecke, Apache Gonzalez, Bob Featherer, Malik Hawkins, Sean Timothy Whitaker, Christopher Averns, Shenetta Green, Angelo Reyes, Francis Owens",2019,13+,94 min,Drama,4.4
1389,Movie,First Winter,John N. Smith,Unknown,1981,7+,27 min,Documentary,4.4
2658,Movie,CPAC: The World Is Watching,Jason Killian Meath,"Matt Schlapp, Mercedes Schlapp, Dan Schneider, Ian Walters",2020,7+,41 min,Documentary,4.4
1792,Movie,Bail Out,Max Kleven,"David Hasselhoff, Linda Blair, Tony Brubaker, Thomas Rosales Jr., John Vernon, Gregory Scott Cummins, Wayne Montanio, Jack Jozefson, Sheree Bodoff, Valerie Swift, Joe Tornatore, Bob Minor, Caroline Barclay, Clay M. Lilley, Fred Scheiwiller, Robert F. Hoy, Ginger Caples, Richard Cansino, Said Faraj, Timothy Brown, Maurice Sherbanee, Karen Michaels, Roy Jenson, Gary Lee Davis, George 'Buck' Flower, Jovin Montanaro, Dick Durock, Daniel O'Haco, Jeff O'Haco, Daniel K. Moore, Charles Croughwell, Debra Lamb, Taylor Lacher, Jerry Craig, Danny Trejo, Cecilia Camacho, David Cadiente, Carlie Fiorelli, Charlie Brill, Kimberly Weaver, Jon K. Greene, Richard L. Duran, Patrick Brock, Max Kleven",1990,PG-13,88 min,"Action, Adventure, Comedy",4.4
2350,Movie,An American Ghost Story,Derek Cole,"Stephen Twardokus, Jon Gale, Liesel Kopp, Wendy Haines, Cain Clifton",2012,Unknown,90 min,Horror,4.4
1066,Movie,Lake Effects,Michael McKay,"Scottie Thompson, Jane Seymour, Madeline Zima",2020,13+,96 min,Drama,4.4
5004,Movie,Tart,Christina Wayne,"Dominique Swain, Brad Renfro, Bijou Phillips, Mischa Barton",2002,R,91 min,"Drama, Suspense",4.393
4373,Movie,Ambush at Dark Canyon,Dustin Rikert,"Kix Brooks, Ernie Hudson, Abraham Benrubi, Timothy V. Murphy",2012,R,95 min,"Action, Western",4.385
6561,Movie,Dard Divorce,Olaf Ittenbach,"Martina Ittenbach, Daryl Jackson, Jaymes Butler, Barrett Jones",2008,18+,87 min,"Drama, Horror, Suspense",4.381
6562,Movie,Anaganaga Oka Nenu,Vamshi P,"Vijay, Sweta chaudhary, NNR CHOWDARY, Hariya",2021,18+,135 min,"Action, Drama, Suspense",4.381
5767,Movie,Shangri-La: Near Extinction,Nick Wauters,"Eric Szmanda, Sara Malakul Lane, Ewan Chung, Patrick Batiste, Rocky Bonifield, Joshua Shibata, Mykayla Sohn, Darin Cooper, Mercy Miroshin, Ken Narasaki",2018,16+,84 min,"Action, Fantasy, Science Fiction",4.375
2954,Movie,Smiley,Tamara Tana,"Anton Sokolov, Alexandra Lupashko, Tatyana Yakovenko, Vitas Eyzenakh, Maria Bushmelyova, Irina Mazurkevich, Maria Poezzhaeva, Aleksei Surenskiy, Tamara Tana, Alyona Yakovleva, Olga Khokhlova, Valentina Svetlova, Alexander Chevyichelov, Timofei Krinitskiy, Boris Smirnov, Alexander Ratnikov, Natalya Kovalyova",2014,13+,87 min,"Comedy, Drama, Young Adult Audience",4.372
5514,Movie,Double Down,Sterling Macer Jr.,"Sterling Macer Jr, Jaimi Paige, Victor H Lopez, Shashawnee Hall",2020,16+,109 min,"Drama, Suspense",4.37
1883,Movie,Alphabet City,Amos Poe,"Vincent Spano, Michael Winslow",1984,R,85 min,Drama,4.357
4899,Movie,Await the Dawn,Pablo Macho Maysonet IV,"Dee Wallace, Josh Server, Courtney Gains, Vernon Wells",2020,13+,90 min,"Horror, Science Fiction",4.357
5632,Movie,Kadalora Kavithaikal,Bharathiraja,"Sathyaraj, Rekha, Ranjani",1986,ALL,137 min,Romance,4.348
5631,Movie,Shadow Man,Michael Keusch,"Steven Seagal, Eva Pope, Imelda Staunton, Vincent Riotta, Michael Elwyn, Alex Ferns, Skye Bennett, Garrick Hagon, Levani, Werner Daehn",2006,R,96 min,"Action, Suspense",4.348
1166,Movie,Jack And Jill & More Classic Nursery Rhymes For Kids - KiiYii,Moonbug Entertainment,Unknown,2020,ALL,31 min,Kids,4.346
4630,Movie,Sharktopus,Declan O'Brien,"Eric Roberts, Hector Jimenez",2010,13+,89 min,"Action, Horror, Science Fiction",4.342
1204,Movie,Iddari Lokam Okate,G P Rama Krishna,"Raj Tarun, Varsha",2019,13+,126 min,"Drama, Romance",4.333
5073,Movie,Reunion of Champions,Damion Damaske,"Markesha Chatfield, Stephanie Wong, John F. Thomas, Nick Theurer, Damion Damaske, Edmund Kwan",2021,16+,76 min,"Comedy, Drama, Science Fiction",4.333
3515,Movie,Life With Father - A Restored Color Classic with William Powell & Elizabeth Taylor,Michael Curtiz,"William Powell, Elizabeth Taylor, Irene Dunne, Edmund Gwenn, Jimmy Lydon, Zasu Pitts",1947,13+,118 min,"Action, Comedy, Drama",4.333
1205,Movie,Icy Demons,Unknown,Unknown,2008,NR,38 min,Music Videos and Concerts,4.333
3513,Movie,The Teacher,Rambabu Muddapu,"V R k Rao, Chinni Krishna, V Meena Kumari, P V Sindhu, Swapna, Latha, Ravikishore, Srinivas",2021,13+,63 min,Drama,4.333
2961,Movie,Dead Voices,William Butler,"Jacob Kyle Young, Lochlyn Munro, Angelica Briones, Lauren Albo",2020,16+,81 min,Horror,4.333
3514,Movie,South Sea Adventures - A Colorful Dramatized Travelogue Featuring the Pacific Islands,"Carl Dudley, Richard Goldstone, Frances D. Lyon, Walter Thompson","Orson Welles, Numerous Islanders, Don the Beachcomber, Diane Beardmore, Tommy Zahn, Marlene Lizzio, Kay Johnson",1958,7+,116 min,Drama,4.333
4804,Movie,Top Dog,Aaron Norris,"Chuck Norris, Michele Lamar Richards, Erik von Detten, Carmine Caridi, Clyde Kusatsu",1995,PG-13,86 min,"Action, Adventure, Comedy",4.327
4446,Movie,Debug,David Hewlett,"Jason Momoa, Tenika Davis, Adrian Holmes, Kjartan Hewitt",2015,18+,86 min,"Horror, Science Fiction",4.326
4447,Movie,Dabangg 3 (Tamil),Prabhudeva,"Salman Khan, Kichcha Sudeepa, Sonakshi Sinha, Arbaaz Khan, Saiee Manjrekar",2019,13+,149 min,"Action, Romance",4.326
3152,Movie,Skin Traffik,Ara Paiaya,"Gary Daniels, Mickey Rourke, Eric Roberts, Daryl Hannah, Michael Madsen, Jeff Fahey, Dominique Swain, Alan Ford",2015,R,97 min,Action,4.321
1718,Movie,Blanche,Twila LaBar,"Clifford Hardwick, Tommy Mangrem, Carolyn Mangrem, Suzanne O'Bryan, Don Pfiester, Liz Sibley, Madelaine Gorman King, Theresa Chambers Stolte, Rick Ruiz, Edward Pfiester, Liz Roger, Jim O'Bryan, Sam Pfiester, Al Kauffman, Jody Richardson, Judge Billy Ray Stubblefield, PF- OFF Protestor, First Amendment Supporter",2019,Unknown,67 min,"Comedy, Western",4.306
345,Movie,The Job,Kenny Golde,"Daryl Hannah, Eric Mabius, Brad Renfro, Dominique Swain",2004,R,86 min,"Action, Drama, Suspense",4.3
2702,Movie,Bramma,K. Subash,"Sathyaraj, Kushboo, Bhanupriya, Goundamani",1991,ALL,142 min,"Action, Drama, Romance",4.3
5781,Movie,English Fairy Tales,Unknown,Unknown,2021,ALL,41 min,"Animation, Anime, Romance",4.3
3204,Movie,Feeding the Masses,Richard Griffin,"Billy Garberina, Rachel Morris, Patrick Cohen",2021,18+,85 min,"Horror, Suspense",4.3
5780,Movie,Ghost Month,Danny Draven,"Marina Resa, Toonyun, Akiko Shima",2009,R,100 min,Horror,4.3
1017,Movie,Lost Holiday,"Michael Kerry Matthews, Thomas Matthews","Kate Lyn Sheil, William Jackson Harper, Keith Poulson",2019,18+,78 min,"Comedy, Drama, Suspense",4.3
2704,Movie,BabyBus - Nursery Rhymes & Kids Songs (VOLUME 1),BabyBus,"Kiki, Miumiu, Mimi, Timi",2020,ALL,67 min,Kids,4.3
414,Movie,The Competition,Joel Oliansky,"Richard Dreyfuss, Amy Irving, Lee Remick, Sam Wanamaker",1980,PG,126 min,"Arts, Entertainment, and Culture, Drama, Romance",4.3
4225,Movie,Kanna Laddu Thinna Aasaiya,K. S. Manikandan,"Sethu, Santhanam, Srinivasan, Vishakha, VTV Ganesh, Kovai Sarala, K. Sivasankar",2013,ALL,133 min,Comedy,4.3
6345,Movie,TikTok,Avani Dias,Unknown,2021,13+,43 min,"Documentary, Special Interest",4.3
5265,Movie,Konga,John Lemont,Unknown,1961,7+,90 min,Science Fiction,4.3
532,Movie,Stagecoach - The Original John Wayne Classic,John Ford,"John Wayne, Claire Trevor, Andy Devine, John Carradine, Thomas Mitchell, Louise Platt, George Bancroft, Donald Meek, Tim Holt, Tom Tyler, Yakima Canutt",1939,7+,96 min,"Adventure, Drama, Western",4.3
880,Movie,Mr. Reckless,Frank McDonald,"William Eythe, Barbara Britton, Walter Catlett, Minna Gombell, Lloyd Corrigan, Frank Jenks",1948,13+,69 min,"Action, Drama",4.3
1887,Movie,Alone For Christmas,Joseph Lawson,"David DeLuise, Kim Little, Davis Cleveland",2013,ALL,88 min,Kids,4.3
2618,Movie,I Am Gangster,Moritz Rechenberg,"Abraham Bobadilla, Gilberto Ortiz, Rick Mancia, Mario Ardila Jr., Kelli Strader, Alex Ortiz, Gloria Garayua, Ada Luz Pla, Hector Bucio, David Barrera, Marlene Forte, Lincoln Castellanos",2016,18+,106 min,"Action, Drama",4.3
6194,Movie,Jiminy Glick in Lalawood,Vadim Jean,"Martin Short, Jan Hooks, Linda Cardellini, Janeane Garofalo, John Michael Higgins, Elizabeth Perkins, Larry Joe Campbell, Mo Collins, Deray Davis, Carlos Jacott, Corey Pearson, Aries Spears, Gary Anthony Williams",2005,R,91 min,"Comedy, Suspense",4.3
689,Movie,Remembering Leonard Nimoy,"Julie Nimoy, David Knight",Leonard Nimoy,2017,Unknown,57 min,Documentary,4.3
688,Movie,Renfrew Of The Royal Mounted,Al Herman,"James Newill, Carol Hughes, William Royle, Herbert Corthell, Kenneth Harlan",1937,13+,56 min,"Action, Drama, Western",4.3
5274,Movie,Absence of The Good,John Flynn,"Stephen Baldwin, Tyne Daly, Allen Garfield",1999,R,99 min,"Action, Suspense",4.3
1767,Movie,Becoming Burlesque,Jackie English,"Shiva Negar, Khalid Klein, Hrant Alianak, Severn Thompson",2018,16+,96 min,Drama,4.3
531,Movie,Stained,Karen Lam,Unknown,2011,16+,91 min,Suspense,4.3
5497,Movie,Shoot First And Pray You Live,Lance Doty,"John Doman, Jim Gaffigan, Jeff Hephner, Tamara Hope",2008,R,110 min,"Action, Western",4.3
3153,Movie,Red wine night,Josep María Nunes,"Serena Vergano, Enrique Irazoqui",1967,18+,94 min,Drama,4.3
5234,Movie,The Perfect Husband,Beda Docampo Feijoo,"Tim Roth, Peter Firth, Ana Belen, Aitana Sanchez-Gijon, Eliska Balzerova",1993,16+,84 min,Drama,4.3
6282,Movie,Zombie Warz: Falls The Shadow,Steven Berryessa,Ron Berryessa,2011,18+,89 min,"Action, Horror",4.3
1819,Movie,Atlas Shrugged: Part III,James Manera,"Kristoffer Polaha, Laura Regan, Peter Mackenzie, Greg Germann, Joaquim de Almeida",2014,PG-13,99 min,"Drama, Science Fiction, Suspense",4.3
4353,Movie,Osthe,S. Dharani,"Silambarasan, Richa Gangopadhyay, Revathi, Jithan Ramesh, Santhanam, Saranya Mohan, VTV Ganesh, Nassar, Sonu Sood",2011,ALL,149 min,Romance,4.3
5813,Movie,The Road to Hollywood,"Bud Pollard, Del Lord","Ann Christy, Luis Alberni, Bing Crosby",1947,13+,53 min,"Arts, Entertainment, and Culture, Comedy, Documentary",4.3
4993,Movie,Eighteen,Prem Lama,"Prem Lama, Rajdip Rai, Ambika Rai, Prasuna Kadel",2019,16+,128 min,"Drama, Romance",4.3
2988,Movie,Confessions of an Action Star,Brad Martin,"Lin Shaye, Daniel Bernhardt, Michael T. Weiss",2009,13+,87 min,"Action, Comedy, Documentary",4.3
4805,Movie,The Wasp Woman,Roger Corman,"Susan Cabot, Fred Eisley, Barboura Morris, Michael Mark, William Roerick",1959,13+,73 min,Horror,4.3
5950,Movie,The Ambassador's Daughter,Norman Krasna,"Olivia De Havilland, John Forsythe",1956,7+,103 min,Comedy,4.3
1262,Movie,Hennessy,Don Sharp,"Lee Remick, Rod Steiger",1975,13+,105 min,Drama,4.3
2703,Movie,Blippi's Educational Adventures,Stevin John,Stevin John,2021,ALL,64 min,Kids,4.3
6262,Movie,Beer,Patrick Kelly,"Loretta Swit, Rip Torn, Kenneth Mars, David Alan Grier, William Russ, Saul Stein, Peter Michael Goetz",1985,R,83 min,Comedy,4.3
3540,Movie,Santo: The Fury Of The Karate Masters,Alfredo B. Crevenna,"Santi, Grace Renat, César Sobrevals",1982,13+,86 min,Action,4.3
5500,Movie,Ringmaster,Neil Abramson,"Jerry Springer, Jaime Pressly, Michael Jai White, Michael Dudikoff, Molly Hagan, William McNamara",1998,R,90 min,Comedy,4.3
5904,Movie,Bad Ben 4 The Mandela Effect,Nigel Bach,Nigel Bach,2018,18+,67 min,"Horror, Suspense",4.3
1163,Movie,Jack Logan,Al Carter,"Melissa Hansen, Spencer Strickland, Giselle Cidserrano, Tiona Hill, Joshua Roux, Zulma Sandchez",2017,16+,80 min,Horror,4.3
1896,Movie,Alcatraz,Andrew Jones,"Gareth Lawrence, Derek Nelson, Lee Bane, Erick Hayden",2018,16+,87 min,"Action, Drama, Suspense",4.3
5238,Movie,Poola Rangadu,Veerabhadram Chowdary,"Sunil, Isha Chawla, Kota Srinivasa Rao, Pradeep Rawat, Dev Gill, Ali",2012,13+,143 min,"Comedy, Drama",4.3
3602,Movie,It Never Sleeps,Matt Mitchell,"Laura Swift, Fabrizio Santino, Cassandra Orhan",2021,16+,84 min,Horror,4.3
3539,Movie,Second Life,Park Young-ju,"Jung Da-eun, Park Soo-yeon, Jeon Guk-hyang",2019,13+,70 min,Drama,4.3
2771,Movie,Officer,Ram Gopal Varma,"Nagarjuna Akkineni, Myra Sareen",2018,13+,116 min,"Action, Drama, International",4.3
1185,Movie,Insane,Fabricio Heider,"Mayra Albarracín, Sebastián Salas, Santiago Guerci",2016,18+,13 min,"Drama, Suspense",4.3
691,Movie,Reg'lar Fellers,Arthur Dreifuss,"Carl ""Alfalfa"" Switzer, Billy Lee, Janet Dempsey, Sarah Padden, Jerry Wilson, Don Stowell, Lew Luana",1941,13+,70 min,"Comedy, Kids",4.286
6490,Movie,Basement Jack,Michael Shelton,"Eric Peter-Kaiser, Lynn Lowry, Tiffany Shepis, Billy Morrison, Michele Morrow",2009,18+,93 min,Horror,4.281
4976,Movie,Blackwater Valley Exorcism,Michael Feifer,"Corin Nemec, Kane Hodder",2006,R,89 min,Horror,4.275
4695,Movie,Stag Hunt,James Shanks,"Mackenzie Astin, Neil Cole",2014,13+,93 min,"Action, Adventure",4.273
1394,Movie,Figurines,Unknown,Unknown,2011,NR,42 min,Music Videos and Concerts,4.269
1395,Movie,Fighting Mad (1939),Sam Newfield,"James Newill, Milburn Stone, Sally Blane, Benny Rubin, Dave O'Brien, Chief Thundercloud, Walter Long",1939,13+,55 min,"Action, Adventure, Western",4.269
860,Movie,My Normal,Irving Schwartz,"Nicole LaLiberte, Ty Jones, Dawn Noel Pignuola, Naama Kates",2010,18+,75 min,"Comedy, LGBTQ, Romance",4.268
1863,Movie,An American Carol,David Zucker,"Kevin Farley, Kelsey Grammer, Dennis Hopper, David Alan Grier, James Woods, Jon Voight, Leslie Nielsen, Trace Adkins, Robert Davi",2008,PG-13,82 min,Comedy,4.262
3146,Movie,Breach,John Suits,"Bruce Willis, Cody Kearsley, Rachel Nichols, Kassandra Clementi, Johnny Messner, Corey Large, Callan Mulvey, Timothy V. Murphy, Johann Urb, Angela Plagmann, Ralf Moeller, Thomas Jane",2020,R,93 min,"Action, Adventure, Suspense",4.257
3122,Movie,John Denver - Rocky Mountain High Live In Japan 1981,Unknown,John Denver,2009,ALL,75 min,Music Videos and Concerts,4.25
2406,Movie,The Custodian,Simon Hunter,"Lisa Carey, Ty Hungerford, Frank Sczygiol",2012,Unknown,79 min,"Drama, Young Adult Audience",4.25
4703,Movie,Middletown,Jay Leonard,"Jesse Lawrence, Suzanna Bornn, Jeff Raiano, Devan Kier, Shawn Barnes, John Mac Schnurr, Lenneres Hill, Derik Healy, Adam Perkins, Christina Dixon, Patrick Regan, Jennifer Lefsyk, Brandon Mendez",2021,16+,113 min,"Comedy, Drama",4.25
6294,Movie,The Lady Doctor,Camillo Mastrocinque,"Vittorio De Sica, Abbe Lane, Totò",1957,7+,99 min,Comedy,4.25
3182,Movie,Shark!,Majaja,Unknown,2021,16+,93 min,Action,4.25
3121,Movie,Little Miss Muffet,Ed Hartwell,Unknown,2021,ALL,2 min,"Animation, Kids, Music Videos and Concerts",4.25
3120,Movie,Loyal Opposition,Mark Sobel,"Joan Van Ark, Nick Mancuso, Rick Springfield, Lloyd Bochner, Corbin Bernse, Don Diamont, Joel Palmer, Nathaniel DeVeaux, Malcom Stewart, Bob Morrisey, Garvin Cross, Eli Gabay, Ken Roberts, Garry Chalk, Brian Downey",1998,16+,92 min,"Drama, Suspense",4.25
3443,Movie,Nursery Rhymes Volume 7 by Little Baby Bum - Halloween Special,Cannis Holder,Unknown,2018,ALL,25 min,"Animation, Kids",4.25
3442,Movie,Psychophony,Xabier Berraondo,"Claudia Pons, Tania Sarrias, Miriam Planas Ferran, Carvajal Dafnis Balduf, Raul Alvarez, Merce Montala, Leyla Rodriguez",2011,16+,80 min,"Drama, Horror, Suspense",4.25
1237,Movie,Hope Lost,David Petrucci,"Michael Madsen, Danny Trejo, Francesca Agostini",2016,Unknown,95 min,"Drama, Suspense",4.228
1238,Movie,HooplaKidz Nursery Rhyme Time - Part 2,HooplaKidz,"Annie, Ben, Mango",2019,ALL,17 min,"Animation, Kids",4.228
3847,Movie,Kaal,Soham Shah,"John Abraham, Vivek Oberoi, Esha Deol, Lara Dutta, Ajay Devgn",2005,13+,126 min,Suspense,4.216
6065,Movie,Best Night Ever,magnolia,"Desiree Hall, Samantha Colburn, Eddie Ritchard, Crista Flanagan",2014,R,82 min,"Arthouse, Comedy",4.214
5598,Movie,I'll Always Know What You Did Last Summer,Sylvain White,"Brooke Nevin, Sally Ann Brooks, David Paetkau, Torrey DeVitto, Ben Easter, Don Shanks",2006,R,92 min,Horror,4.212
1368,Movie,Fraud Saiyaan,Saurabh Shrivastava,"Arshad Warsi, Saurabh Shukla",2019,13+,117 min,"Comedy, International",4.2
1544,Movie,"Daniel Boone, Trail Blazer","Ismael Rodriguez, Albert C. Gannaway, Ismael Rodríguez","Bruce Bennett, Lon Chaney Jr., Faron Young, Kem Dibbs, Damian O'Flynn, Jacqueline Evans, Nancy Rodman, Freddy Fernández, Carol Kelly, Eduardo Noriega, Fred Kohler Jr., Gordon Mills, Claude Brook, Joe Ainley, Lee Morgan",1956,PG,84 min,"Drama, Western",4.2
5601,Movie,Furious Road,Jeff Leroy,"Ryan Izay, Jasmine St. Clair, Isis Velazquez, Dana Brighton, Rocky Flor, Sudesh Managodage",2014,18+,80 min,Action,4.2
5305,Movie,Painkiller,Mark Savage,"Michael Pare, Bill Oberst Jr., Tom Parnell, Kristina Beringer, Khalimah Gaston, Scot Scurlock",2020,18+,86 min,"Action, Drama, Suspense",4.2
534,Movie,Springtime in the Sierras,William Witney,"Roy Rogers, Jane Frazee, Stephanie Bachelor, Roy Barcroft, Andy Devine",1947,PG,53 min,Western,4.2
395,Movie,The Double Born,Tony Randel,"Sammi Davis, Jon Lindstrom, Jake Bern, Alex Weed, Jenny Dare Paulin, Wray Gould",2008,18+,94 min,"Drama, Suspense",4.2
